correct	missing	No. Lines	extra		correct	missing	No. Lines	extra
								
3	0	3	0	(Calibrated)	3	0	3	0
								
1	4	5	3		1	4	5	2
2	6	8	2		4	4	8	0
2	6	8	3		5	3	8	0
0	5	5	0		2	3	5	1
0	5	5	0		2	3	5	1
2	3	5	0		3	2	5	0
1	4	5	1		2	3	5	0
2	6	8	3		3	5	8	0
3	5	8	14		3	5	8	0
2	5	7	6		3	4	7	0
2	2	4	3		3	1	4	0
1	3	4	2		3	1	4	0
0	4	4	0		3	1	4	0
1	3	4	8		2	1	3	1
3	1	4	11		4	1	5	1
2	2	4	2		3	1	4	0
2	2	4	28		3	1	4	0
4	0	4	26		3	1	4	0
4	0	4	11		4	0	4	0
4	0	4	5		2	2	4	1
								
1.9		5.2	6.4		2.9		5.2	0.35
		0.365384615					0.557692308	
